
19-02-2017 11:18:17:485 - I: 	Loaded bot ../BotEx
19-02-2017 11:18:17:487 - I: 	Registered player Player 1
19-02-2017 11:18:17:487 - I: 	Registered player John
19-02-2017 11:18:17:511 - I: 		OK!
19-02-2017 11:18:18:540 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:2, Key:A)
19-02-2017 11:18:18:610 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:20, Y:20, Key:B)
19-02-2017 11:18:18:612 - D: 	Beginning round processing
19-02-2017 11:18:18:613 - D: 	Removing Bomb Explosions from map
19-02-2017 11:18:18:613 - D: 	Decreasing Bomb Timers
19-02-2017 11:18:18:614 - D: 	Detonating Bombs
19-02-2017 11:18:18:617 - D: 	Processing Player Commands
19-02-2017 11:18:18:646 - I: 	Trying to move player A to destination Location(X:2,Y:3)
19-02-2017 11:18:18:647 - D: 	Applying player power ups
19-02-2017 11:18:18:649 - D: 	Destroying marked entities
19-02-2017 11:18:18:657 - I: 	Player PlayerEntity(X:2, Y:3, Key:A) has a movement coverage of 0,71% for the map
19-02-2017 11:18:18:657 - I: 	Player PlayerEntity(X:20, Y:20, Key:B) has a movement coverage of 0,36% for the map
19-02-2017 11:18:18:657 - D: 	Round processing complete
