
15-02-2017 09:07:32:865 - I: 	Executing process E:\kuda\v1.2.6\Game Engine\Calibrations\BotCalibrationDotNet.exe A "E:\kuda\v1.2.6\Game Engine\Replays\580187095\0\A"
15-02-2017 09:07:32:912 - I: 	Bot calibration complete and can run an additional 51ms due to environment startup
15-02-2017 09:07:32:912 - D: 	Executing bot with following commands ../Reference Bot\Reference\bin\Debug\Reference.exe A "E:\kuda\v1.2.6\Game Engine\Replays\580187095\0\A"
15-02-2017 09:07:32:912 - I: 	Executing process ../Reference Bot\Reference\bin\Debug\Reference.exe A "E:\kuda\v1.2.6\Game Engine\Replays\580187095\0\A"
15-02-2017 09:07:32:912 - I: 	Bot has 4000ms to run before it will be forcefully killed
15-02-2017 09:07:33:112 - I: 	Output from bot: *********************
15-02-2017 09:07:33:112 - I: 	Output from bot: *A ### # # # # ### D*
15-02-2017 09:07:33:112 - I: 	Output from bot: *.* *#*#* * *#*#* * *
15-02-2017 09:07:33:112 - I: 	Output from bot: *...  ## # # ##  # #*
15-02-2017 09:07:33:112 - I: 	Output from bot: *#*.* * *#*#* * * *#*
15-02-2017 09:07:33:112 - I: 	Output from bot: *# ...###   #### # #*
15-02-2017 09:07:33:112 - I: 	Output from bot: *#*#*.* * * * *#*#*#*
15-02-2017 09:07:33:112 - I: 	Output from bot: * #  ...  #       # *
15-02-2017 09:07:33:112 - I: 	Output from bot: * *#* *.*#*#*#* *#* *
15-02-2017 09:07:33:112 - I: 	Output from bot: *# #   ...###    # #*
15-02-2017 09:07:33:112 - I: 	Output from bot: * * * * *..#* * * * *
15-02-2017 09:07:33:112 - I: 	Output from bot: *# #    #####    # #*
15-02-2017 09:07:33:112 - I: 	Output from bot: * *#* *#*#*#*#* *#* *
15-02-2017 09:07:33:112 - I: 	Output from bot: * #       #       # *
15-02-2017 09:07:33:112 - I: 	Output from bot: *#*#*#* * * * *#*#*#*
15-02-2017 09:07:33:112 - I: 	Output from bot: *# # ####   #### # #*
15-02-2017 09:07:33:112 - I: 	Output from bot: *#* * * *#*#* * * *#*
15-02-2017 09:07:33:112 - I: 	Output from bot: *# #  ## # # ##  # #*
15-02-2017 09:07:33:112 - I: 	Output from bot: * * *#*#* * *#*#* * *
15-02-2017 09:07:33:112 - I: 	Output from bot: *C ### # # # # ### B*
15-02-2017 09:07:33:112 - I: 	Output from bot: *********************
15-02-2017 09:07:33:112 - I: 	Output from bot: Executing move command
15-02-2017 09:07:33:112 - I: 	Output from bot: Sending Back command MoveDown
15-02-2017 09:07:33:112 - I: 	Output from bot: 
15-02-2017 09:07:33:112 - E: 	Output from bot: 
15-02-2017 09:07:33:112 - I: 	Your bots total execution time was 00:00:00.1994222
