
15-02-2017 09:08:07:540 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:5, Y:4, Key:A)
15-02-2017 09:08:07:739 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:17, Y:18, Key:B)
15-02-2017 09:08:07:917 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:6, Y:17, Key:C)
15-02-2017 09:08:08:102 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:18, Y:4, Key:D)
15-02-2017 09:08:08:102 - D: 	Beginning round processing
15-02-2017 09:08:08:102 - D: 	Removing Bomb Explosions from map
15-02-2017 09:08:08:102 - D: 	Decreasing Bomb Timers
15-02-2017 09:08:08:102 - D: 	Detonating Bombs
15-02-2017 09:08:08:102 - D: 	Processing Player Commands
15-02-2017 09:08:08:102 - I: 	Trying to move player D to destination Location(X:18,Y:5)
15-02-2017 09:08:08:102 - D: 	Applying player power ups
15-02-2017 09:08:08:102 - D: 	Destroying marked entities
15-02-2017 09:08:08:102 - I: 	Player PlayerEntity(X:5, Y:4, Key:A) has a movement coverage of 3,56% for the map
15-02-2017 09:08:08:102 - I: 	Player PlayerEntity(X:17, Y:18, Key:B) has a movement coverage of 4,27% for the map
15-02-2017 09:08:08:102 - I: 	Player PlayerEntity(X:6, Y:17, Key:C) has a movement coverage of 3,56% for the map
15-02-2017 09:08:08:102 - I: 	Player PlayerEntity(X:18, Y:5, Key:D) has a movement coverage of 3,56% for the map
15-02-2017 09:08:08:102 - D: 	Round processing complete
