
15-02-2017 09:08:42:048 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:6, Y:10, Key:A)
15-02-2017 09:08:42:279 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:17, Y:10, Key:B)
15-02-2017 09:08:42:661 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:10, Y:15, Key:C)
15-02-2017 09:08:42:894 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:14, Y:7, Key:D)
15-02-2017 09:08:42:894 - D: 	Beginning round processing
15-02-2017 09:08:42:894 - D: 	Removing Bomb Explosions from map
15-02-2017 09:08:42:894 - D: 	Decreasing Bomb Timers
15-02-2017 09:08:42:894 - D: 	Detonating Bombs
15-02-2017 09:08:42:894 - I: 	Detonating Bomb BombEntity(X:12, Y:8, Radius:8, Timer:0, Owner:D)
15-02-2017 09:08:42:894 - D: 	Processing Player Commands
15-02-2017 09:08:42:894 - I: 	Trying to move player A to destination Location(X:7,Y:10)
15-02-2017 09:08:42:894 - I: 	Trying to move player B to destination Location(X:16,Y:10)
15-02-2017 09:08:42:894 - I: 	Trying to move player C to destination Location(X:10,Y:14)
15-02-2017 09:08:42:894 - D: 	Applying player power ups
15-02-2017 09:08:42:894 - D: 	Destroying marked entities
15-02-2017 09:08:42:894 - D: 	Destroyed Entity DestructibleWallEntity(X:12, Y:5)
15-02-2017 09:08:42:894 - D: 	Destroyed Entity DestructibleWallEntity(X:11, Y:8)
15-02-2017 09:08:42:894 - D: 	Destroyed Entity DestructibleWallEntity(X:19, Y:8)
15-02-2017 09:08:42:894 - D: 	Destroyed Entity DestructibleWallEntity(X:12, Y:9)
15-02-2017 09:08:42:894 - I: 	Player PlayerEntity(X:7, Y:10, Key:A) has a movement coverage of 7,12% for the map
15-02-2017 09:08:42:894 - I: 	Player PlayerEntity(X:16, Y:10, Key:B) has a movement coverage of 9,96% for the map
15-02-2017 09:08:42:894 - I: 	Player PlayerEntity(X:10, Y:14, Key:C) has a movement coverage of 8,54% for the map
15-02-2017 09:08:42:894 - I: 	Player PlayerEntity(X:14, Y:7, Key:D) has a movement coverage of 7,12% for the map
15-02-2017 09:08:42:894 - D: 	Round processing complete
