
07-02-2017 11:47:40:132 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:2, Y:4, Key:A)
07-02-2017 11:47:40:365 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:19, Y:20, Key:B)
07-02-2017 11:47:40:365 - D: 	Beginning round processing
07-02-2017 11:47:40:365 - D: 	Removing Bomb Explosions from map
07-02-2017 11:47:40:365 - D: 	Decreasing Bomb Timers
07-02-2017 11:47:40:365 - D: 	Detonating Bombs
07-02-2017 11:47:40:365 - D: 	Processing Player Commands
07-02-2017 11:47:40:365 - I: 	Trying to move player B to destination Location(X:20,Y:20)
07-02-2017 11:47:40:365 - D: 	Applying player power ups
07-02-2017 11:47:40:365 - D: 	Destroying marked entities
07-02-2017 11:47:40:365 - I: 	Player PlayerEntity(X:2, Y:4, Key:A) has a movement coverage of 1,07% for the map
07-02-2017 11:47:40:365 - I: 	Player PlayerEntity(X:20, Y:20, Key:B) has a movement coverage of 0,71% for the map
07-02-2017 11:47:40:365 - D: 	Round processing complete
