
15-02-2017 11:25:21:496 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:11, Y:8, Key:A)
15-02-2017 11:25:21:682 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:15, Y:12, Key:B)
15-02-2017 11:25:21:682 - D: 	Beginning round processing
15-02-2017 11:25:21:682 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:21:682 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:21:682 - D: 	Detonating Bombs
15-02-2017 11:25:21:682 - I: 	Detonating Bomb BombEntity(X:16, Y:14, Radius:4, Timer:0, Owner:B)
15-02-2017 11:25:21:682 - D: 	Processing Player Commands
15-02-2017 11:25:21:682 - I: 	Trying to move player A to destination Location(X:10,Y:8)
15-02-2017 11:25:21:682 - D: 	Applying player power ups
15-02-2017 11:25:21:682 - D: 	Destroying marked entities
15-02-2017 11:25:21:682 - D: 	Destroyed Entity DestructibleWallEntity(X:16, Y:10)
15-02-2017 11:25:21:682 - D: 	Destroyed Entity DestructibleWallEntity(X:15, Y:14)
15-02-2017 11:25:21:682 - I: 	Player PlayerEntity(X:10, Y:8, Key:A) has a movement coverage of 8,90% for the map
15-02-2017 11:25:21:682 - I: 	Player PlayerEntity(X:15, Y:12, Key:B) has a movement coverage of 9,25% for the map
15-02-2017 11:25:21:682 - D: 	Round processing complete
