
15-02-2017 11:25:24:231 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:11, Y:10, Key:A)
15-02-2017 11:25:24:415 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:16, Y:11, Key:B)
15-02-2017 11:25:24:415 - D: 	Beginning round processing
15-02-2017 11:25:24:415 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:24:415 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:24:415 - D: 	Detonating Bombs
15-02-2017 11:25:24:415 - D: 	Processing Player Commands
15-02-2017 11:25:24:452 - I: 	Trying to move player A to destination Location(X:11,Y:11)
15-02-2017 11:25:24:452 - D: 	Applying player power ups
15-02-2017 11:25:24:452 - D: 	Destroying marked entities
15-02-2017 11:25:24:452 - I: 	Player PlayerEntity(X:11, Y:11, Key:A) has a movement coverage of 9,61% for the map
15-02-2017 11:25:24:452 - I: 	Player PlayerEntity(X:16, Y:11, Key:B) has a movement coverage of 9,61% for the map
15-02-2017 11:25:24:452 - D: 	Round processing complete
