
15-02-2017 11:25:29:887 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:10, Y:11, Key:A)
15-02-2017 11:25:30:120 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:16, Y:10, Key:B)
15-02-2017 11:25:30:120 - D: 	Beginning round processing
15-02-2017 11:25:30:120 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:30:120 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:30:120 - D: 	Detonating Bombs
15-02-2017 11:25:30:120 - D: 	Processing Player Commands
15-02-2017 11:25:30:120 - I: 	Trying to move player A to destination Location(X:10,Y:10)
15-02-2017 11:25:30:120 - D: 	Applying player power ups
15-02-2017 11:25:30:120 - D: 	Destroying marked entities
15-02-2017 11:25:30:120 - I: 	Player PlayerEntity(X:10, Y:10, Key:A) has a movement coverage of 9,96% for the map
15-02-2017 11:25:30:120 - I: 	Player PlayerEntity(X:16, Y:10, Key:B) has a movement coverage of 9,96% for the map
15-02-2017 11:25:30:120 - D: 	Round processing complete
