
19-02-2017 12:05:20:755 - I: 	Player Command PlaceBombCommand failed because Already placed all the bombs for player PlayerEntity(X:19, Y:20, Key:B)
19-02-2017 12:05:21:656 - D: 	Executing bot with following commands ../BotEx\SampleBot\Release\SampleBot.exe B "E:\kuda\v1.2.6\Game Engine\Replays\737776183\4\B"
19-02-2017 12:05:21:656 - I: 	Executing process ../BotEx\SampleBot\Release\SampleBot.exe B "E:\kuda\v1.2.6\Game Engine\Replays\737776183\4\B"
19-02-2017 12:05:21:657 - I: 	Bot has 4000ms to run before it will be forcefully killed
19-02-2017 12:05:21:671 - I: 	Output from bot: Node no 1 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 2 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 3 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 4 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 5 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 6 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 7 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 8 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 9 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 10 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 11 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 12 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 13 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 14 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 15 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 16 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 17 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 18 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 19 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 20 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 21 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 22 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 23 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 24 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 25 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 26 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 27 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 28 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 29 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 30 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 31 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 32 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 33 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 34 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 35 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 36 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 37 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 38 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 39 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 40 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 41 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 42 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 43 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 44 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 45 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 46 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 47 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 48 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 49 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 50 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 51 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 52 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 53 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 54 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 55 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 56 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 57 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 58 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 59 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 60 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 61 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 62 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 63 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 64 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 65 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 66 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 67 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 68 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 69 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 70 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 71 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 72 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 73 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 74 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 75 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 76 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 77 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 78 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 79 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 80 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 81 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 82 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 83 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 84 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 85 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 86 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 87 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 88 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 89 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 90 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 91 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 92 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 93 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 94 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 95 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 96 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 97 -1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node 98x 16 y 20
19-02-2017 12:05:21:672 - I: 	Output from bot: x 16 y 20 e:DW
19-02-2017 12:05:21:672 - I: 	Output from bot: x 17 y 20 e:DW
19-02-2017 12:05:21:672 - I: 	Output from bot: x 18 y 20 e:DW
19-02-2017 12:05:21:672 - I: 	Output from bot: x 19 y 20 e:Bomb
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 98 3 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node 99x 18 y 20
19-02-2017 12:05:21:672 - I: 	Output from bot: x 18 y 20 e:DW
19-02-2017 12:05:21:672 - I: 	Output from bot: x 19 y 20 e:Bomb
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 99 1 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: Node 100x 20 y 20
19-02-2017 12:05:21:672 - I: 	Output from bot: x 19 y 20 e:Bomb
19-02-2017 12:05:21:672 - I: 	Output from bot: x 20 y 20 e:Null
19-02-2017 12:05:21:672 - I: 	Output from bot: Node no 100 0 walls
19-02-2017 12:05:21:672 - I: 	Output from bot: CurLoc X: 19 Y: 20
19-02-2017 12:05:21:672 - I: 	Output from bot: Selected node number :98, X: 16 Y:20
19-02-2017 12:05:21:672 - I: 	Output from bot: Selected move : 5
19-02-2017 12:05:21:672 - I: 	Output from bot: Writing move file E:\kuda\v1.2.6\Game Engine\Replays\737776183\4\B/move.txt
19-02-2017 12:05:21:674 - I: 	Output from bot: 
19-02-2017 12:05:21:674 - E: 	Output from bot: 
19-02-2017 12:05:21:674 - I: 	Your bots total execution time was 00:00:00.0183802
